,OriginalTweet,Sentiment,text_clean,text_len,token_lens
0,COVID-19 Update. We will be TEMPORARILY closing our retail store beginning tomorrow March 16th. Lets put people over profits.? - https://t.co/Nj6LTonFww https://t.co/5zDHpzSW9W,Positive,covid19 update we will be temporarily closing our retail store beginning tomorrow march 16th lets put people over profits,19,23
1,"Im stuck indoors for the foreseeable due to avoiding Covid-19, all I do is look at online shopping.... think @EmmaBridgewater may benefit from cabin fever after a week or so...",Negative,im stuck indoors for the foreseeable due to avoiding covid19 all i do is look at online shopping think may benefit from cabin fever after a week or so,29,35
2,"The most people that have no humanity are the entrepreneurs.

 In #Covid_19 crisis, they raised prices of the most needed resources for humans.

#shame !",Extremely Negative,the most people that have no humanity are the entrepreneurs in covid19 crisis they raised prices of the most needed resources for humans shame,24,28
3,"Setting up an old iMac as a RIP machine for my Canon printer- installing snow leopard from a CD like its 2009- simpler times, when your computer mouse had a cord and you could buy toliet paper at your local grocery store. #Covid_19 https://t.co/917J00Sr3h",Positive,setting up an old imac as a rip machine for my canon printer installing snow leopard from a cd like its 2009 simpler times when your computer mouse had a cord and you could buy toliet paper at your local grocery store covid19,43,50
4,ireland produces so much food we have to export most of it. STOP STOCK PILING! covid 19 isnt going to interrupt the stocking of shelves. think of the elderly in ur community who need help and dont have the luxury of getting to the shops as conveniently.,Negative,ireland produces so much food we have to export most of it stop stock piling covid 19 isnt going to interrupt the stocking of shelves think of the elderly in ur community who need help and dont have the luxury of getting to the shops as conveniently,47,55
5,"#CoronavirusPandemic has us  #RetailWorkers like this... today my store had no toilet roll at 8am all gone... good luck my fellow #Retail work, we are all going down! #coronavirus #FridayThe13th https://t.co/dkmkuaf2Cs",Extremely Positive,coronaviruspandemic has us retailworkers like this today my store had no toilet roll at 8am all gone good luck my fellow retail work we are all going down coronavirus fridaythe13th,30,43
6,"Oil prices at an all time low, Alberta's 3rd winter + Coronavirus madness. I tap world - You Win ! #Covid_19 #oilprice #toiletpapercrisis #albertarecession",Negative,oil prices at an all time low albertas 3rd winter coronavirus madness i tap world you win covid19 oilprice toiletpapercrisis albertarecession,21,36
7,"To put this epidemic into perspective, would you rather go through this situation or suffer being bombed night after night for years, your children evacuated and you couldn't panic buy food as commodities were strictly rationed. I'd take Covid-19 any day. No mass theatrics then",Extremely Negative,to put this epidemic into perspective would you rather go through this situation or suffer being bombed night after night for years your children evacuated and you couldnt panic buy food as commodities were strictly rationed id take covid19 any day no mass theatrics then,45,54
8,This is America   Be safe than sorry better hit up those grocery stores amp stock up on food spend wisely keep washing your hands amp PRAY      ,Extremely Positive,this is america be safe than sorry better hit up those grocery stores amp stock up on food spend wisely keep washing your hands amp pray,26,29
9,"Apple Store locations have received new directives to help curb the spread of CoronaVirus

https://t.co/46tCcgwOug

#Apple #AppleStore #retail #health #directives #infection #CoronaVirus #pandemic",Positive,apple store locations have received new directives to help curb the spread of coronavirus apple applestore retail health directives infection coronavirus pandemic,22,31
10,"@ every retail store
#COVID?19 #coronavirus #panicshopping https://t.co/KvXjw9Nooh",Neutral,every retail store covid19 coronavirus panicshopping,6,13
11,"If there ever is a real need to stock up on food, we are all going to die. #emptyshelves #coronaviruspanic #coronavirus",Negative,if there ever is a real need to stock up on food we are all going to die emptyshelves coronaviruspanic coronavirus,21,30
12,"#vegan #coronavirus Those eating them animals and paying for their murder always said, they could NEVER survive on vegan food. Yet, when their survival is at stake, they stock up exactly on those vegan foods ( pasta/beans/pulses/rice). Life has interesting ways to prove hypocrisy",Negative,vegan coronavirus those eating them animals and paying for their murder always said they could never survive on vegan food yet when their survival is at stake they stock up exactly on those vegan foods pastabeanspulsesrice life has interesting ways to prove hypocrisy,43,59
13,"For people not panicking right now, why the fuck arent you? What supreme knowledge do you possess that others do not?",Positive,for people not panicking right now why the fuck arent you what supreme knowledge do you possess that others do not,21,25
14,"How health are you if you take a sh*t everyday? Now you need to buy enough toilet paper for months because of the low quality food you have to eat everyday because of a virus panic. Do you have enough toilet paper?

#coronavirus #panicbuying #Covid_19",Extremely Negative,how health are you if you take a sht everyday now you need to buy enough toilet paper for months because of the low quality food you have to eat everyday because of a virus panic do you have enough toilet paper coronavirus panicbuying covid19,45,53
15,"I work in a grocery store , please be kind to staff and customers.  If you see someone struggling please help , this panic is scaring the shit out of people !   Remember you rely on us to get your food if we close you are screwed BE KIND &amp; WASH YOUR HANDS #Covid_19 #Coronavirus",Extremely Positive,i work in a grocery store please be kind to staff and customers if you see someone struggling please help this panic is scaring the shit out of people remember you rely on us to get your food if we close you are screwed be kind amp wash your hands covid19 coronavirus,52,58
16,A friend sent this over ?? https://t.co/hSwtyy8oPC,Positive,a friend sent this over,5,7
17,Happening now Stock up at the food pantry Pop up open until 6 p m first floor of the MLK student union by Cesar Chavez Beginning at 12 01 a m Alameda County will  shelter in place  until April 7 due to,Neutral,happening now stock up at the food pantry pop up open until 6 p m first floor of the mlk student union by cesar chavez beginning at 12 01 a m alameda county will shelter in place until april 7 due to,42,46
18,"I have PTSD from surviving Hurricane Katrina.
Seeing ""panic shopping"" and depleted stores causes some intense flashbacks for me, it's scary.
I remember how hard it was to get food or water in the aftermath.
Please be smart and safe, everyone...
#Covid_19",Positive,i have ptsd from surviving hurricane katrina seeing panic shopping and depleted stores causes some intense flashbacks for me its scary i remember how hard it was to get food or water in the aftermath please be smart and safe everyone covid19,42,47
19,"#Covid_19 is pandemic, in Nigeria, the economy is heading for a crash. Solution - Nigerians should brace up for tough times. Ruling elites continue their profligacy. And we pray for higher oil prices. Shikenan.",Positive,covid19 is pandemic in nigeria the economy is heading for a crash solution nigerians should brace up for tough times ruling elites continue their profligacy and we pray for higher oil prices shikenan,33,44
20,"Ive stockpiled 120 days of food &amp; water. As Im of limited means, it wasnt easy. I should be able to ride out Covid-19.

1 problem, My neighbors are elderly people &amp; families of modest means. What kind of Christian would turn their back on these people? https://t.co/rARjfr7xgU",Negative,ive stockpiled 120 days of food amp water as im of limited means it wasnt easy i should be able to ride out covid19 1 problem my neighbors are elderly people amp families of modest means what kind of christian would turn their back on these people,47,55
21,"Instead of panic buying in the crowded supermarkets, pop down to the local shop and see if they have what you need. The prices are pretty reasonable in most of them #Covid_19 #panicbuying",Neutral,instead of panic buying in the crowded supermarkets pop down to the local shop and see if they have what you need the prices are pretty reasonable in most of them covid19 panicbuying,33,39
22,"@DrTedros ""We cant stop #COVID19 without protecting #healthworkers.
Prices of surgical masks have increased six-fold, N95 respirators have more than trebled &amp; gowns cost twice as much""-@DrTedros #coronavirus",Neutral,we cant stop covid19 without protecting healthworkers prices of surgical masks have increased sixfold n95 respirators have more than trebled amp gowns cost twice as much coronavirus,27,43
23,#Covid_19 just think if the UK closed the schools how many kids would go with out food as the meal in school is the only one they get as family's can't afford food. Or school is the only escape from domestic abuse at home? While the virus is still slow in the UK lets not panic,Negative,covid19 just think if the uk closed the schools how many kids would go with out food as the meal in school is the only one they get as familys cant afford food or school is the only escape from domestic abuse at home while the virus is still slow in the uk lets not panic,56,62
24,Maybe the #panicshopping over #coronavirus for #bogroll and other food staples wasnt out of place seeing as though @woolworths cant stock their shelves and wont be getting any deliverys until further notice....... better call the CEO again hey @ScottMorrisonMP https://t.co/1Tns2Kx9pZ,Extremely Positive,maybe the panicshopping over coronavirus for bogroll and other food staples wasnt out of place seeing as though cant stock their shelves and wont be getting any deliverys until further notice better call the ceo again hey,37,47
25,"Daily 4pm update. Across 50 states and DC we've tracked:
3,173 positives
22,548 negatives
2,242 pending.

Total # of people tested: 27,963.

Before trying to interpret this data, please read over our notes about how each state reports data differently: https://t.co/NFXhO4sAG7. https://t.co/tnECTqQvrr",Extremely Positive,daily 4pm update across 50 states and dc weve tracked 3173 positives 22548 negatives 2242 pending total of people tested 27963 before trying to interpret this data please read over our notes about how each state reports data differently,39,50
26,To all those clever people panic buying and leaving supermarket shelves bare - make sure you stock up on condoms. You definitely dont need to reproduce. #Covid_19 #coronapocalypse #KeepCalm,Positive,to all those clever people panic buying and leaving supermarket shelves bare make sure you stock up on condoms you definitely dont need to reproduce covid19 coronapocalypse keepcalm,28,39
27,"Am I worried that there will be no toilet paper left when I get to the grocery store?

No, because as long as the kid keeps delivering flyers to the door, I'll be OK! #Covid_19",Negative,am i worried that there will be no toilet paper left when i get to the grocery store no because as long as the kid keeps delivering flyers to the door ill be ok covid19,35,39
28,"alright #coronavirus you can fuq with my commute, fuq with mandatory wfh + even fuq with my online shopping addiction to china but you cannot FUQ WITH @tomhanks",Positive,alright coronavirus you can fuq with my commute fuq with mandatory wfh even fuq with my online shopping addiction to china but you cannot fuq with,26,36
29,mixed Advice Stock up on food amp essentials for 3mths Take cash out of banks banks will soon shutdown Have alternative currency ei Bitcoin XRP or physical gold silver Follow high amp on Twitter n Youtube for latest news Get Vitamin C amp Chaga,Positive,mixed advice stock up on food amp essentials for 3mths take cash out of banks banks will soon shutdown have alternative currency ei bitcoin xrp or physical gold silver follow high amp on twitter n youtube for latest news get vitamin c amp chaga,44,55
30,"If you have #coronavirus

- dont go out sick
- wash hands
- call ahead, wear mask to doctor
- stock up food, medicines
- work from home
- keep social distances
- hand sanitizer after surfaces
- avoid touching face
- good sleep, vitamins
- cough in elbow
- dont panic",Negative,if you have coronavirus dont go out sick wash hands call ahead wear mask to doctor stock up food medicines work from home keep social distances hand sanitizer after surfaces avoid touching face good sleep vitamins cough in elbow dont panic,41,49
